bank_transaction_id,booking_date,value_date,amount,currency,transaction_type,payer_name,payer_reference,bank_description,scenario_type,is_reversal,original_bank_transaction_id
BTX-0000324,2025-01-04,2025-01-04,2701.9,GBP,credit,Acme Retail,100392,Acme Retail 100392,truncated_reference,False,
BTX-0000478,2025-01-09,2025-01-09,2127.28,GBP,credit,Harbour Distribution,0014100586,Harbour Distribution 0014100586,truncated_reference,False,
BTX-0000163,2025-01-10,2025-01-10,429.82,GBP,credit,Summit Services,C0058 100194,Summit Services C0058 100194,clean_reference,False,
BTX-0000407,2025-01-10,2025-01-10,125.0,GBP,credit,Silverline Trading,,Silverline Trading,missing_reference,False,
BTX-0001208,2025-01-10,2025-01-10,2982.89,GBP,credit,ClearWater Limited,PAY INV-101481,ClearWater Limited PAY INV-101481,clean_reference,False,
BTX-0000434,2025-01-12,2025-01-12,1260.53,GBP,credit,Acme Group,C0066-IN,Acme Group C0066-IN,truncated_reference,False,
BTX-0001684,2025-01-12,2025-01-12,2500.0,GBP,unexpected_credit,Maple Trading,C0073,Maple Trading C0073,unexpected_receipt,False,
BTX-0000271,2025-01-13,2025-01-13,581.14,GBP,credit,Redwood Holdings,C0038-INV-100327,Redwood Holdings C0038-INV-100327,clean_reference,False,
BTX-0001011,2025-01-14,2025-01-14,3401.46,GBP,credit,Vertex Group,101246,Vertex Group 101246,truncated_reference,False,
BTX-0000505,2025-01-14,2025-01-14,1043.6,GBP,credit,Maple Trading,100628,Maple Trading 100628,truncated_reference,False,
BTX-0001584,2025-01-15,2025-01-15,250.0,GBP,credit,Redwood Group,101935,Redwood Group 101935,truncated_reference,False,
BTX-0000737,2025-01-16,2025-01-16,1282.36,GBP,credit,Maple Holdings,PAY INV,Maple Holdings PAY INV,truncated_reference,False,
BTX-0001388,2025-01-16,2025-01-16,3640.46,GBP,credit,Northstar Services,PAY INV-101695,Northstar Services PAY INV-101695,clean_reference,False,
BTX-0001298,2025-01-16,2025-01-16,125.0,GBP,credit,Acme Ltd,C0047-INV-101586,Acme Ltd C0047-INV-101586,clean_reference,False,
BTX-0001838,2025-01-17,2025-01-17,999.0,GBP,unexpected_credit,Unknown Sender,TRANSFER,Unknown Sender TRANSFER,unexpected_receipt,False,
BTX-0000061,2025-01-17,2025-01-17,2995.47,GBP,credit,Vertex Holdings,INV-100072,Vertex Holdings INV-100072,clean_reference,False,
BTX-0001105,2025-01-17,2025-01-17,2500.0,GBP,credit,Acme Retail,C0053 101364,Acme Retail C0053 101364,clean_reference,False,
BTX-0000239,2025-01-17,2025-01-17,4417.58,GBP,credit,Silverline Ltd,INV-100289,Silverline Ltd INV-100289,clean_reference,False,
BTX-0000133,2025-01-17,2025-01-17,399.0,GBP,credit,BlueRock Distribution,,BlueRock Distribution,missing_reference,False,
BTX-0000871,2025-01-17,2025-01-17,3538.15,GBP,credit,ClearWater Partners,PAY INV-101073,ClearWater Partners PAY INV-101073,clean_reference,False,
BTX-0001125,2025-01-17,2025-01-17,299.0,GBP,credit,Maple Services,C0059 101385,Maple Services C0059 101385,clean_reference,False,
BTX-0000650,2025-01-18,2025-01-18,999.0,GBP,credit,Acme Retail,C0053-INV-100803,Acme Retail C0053-INV-100803,clean_reference,False,
BTX-0000857,2025-01-18,2025-01-18,4007.7,GBP,credit,VERTEX DISTRIBUTION,C0069 101052,VERTEX DISTRIBUTION C0069 101052,clean_reference,False,
BTX-0001365,2025-01-18,2025-01-18,250.0,GBP,credit,BLUEROCK LTD,PAY INV-101668,BLUEROCK LTD PAY INV-101668,clean_reference,False,
BTX-0000948,2025-01-18,2025-01-18,125.0,GBP,credit,Acme Trading,PAY INV-101176,Acme Trading PAY INV-101176,clean_reference,False,
BTX-0001163,2025-01-18,2025-01-18,1523.36,GBP,credit,ClearWater Distribution,C0051-INV-101427,ClearWater Distribution C0051-INV-101427,clean_reference,False,
BTX-0001237,2025-01-19,2025-01-19,1500.0,GBP,credit,IronBridge Services,INV-101512,IronBridge Services INV-101512,clean_reference,False,
BTX-0001129,2025-01-20,2025-01-20,1547.41,GBP,credit,BLUEROCK SOLUTIONS,0006101389,BLUEROCK SOLUTIONS 0006101389,truncated_reference,False,
BTX-0000342,2025-01-20,2025-01-20,3004.78,GBP,credit,Harbour Distribution,INV-100416,Harbour Distribution INV-100416,clean_reference,False,
BTX-0000339,2025-01-20,2025-01-20,1500.0,GBP,credit,IronBridge Holdings,PAY INV-100412,IronBridge Holdings PAY INV-100412,clean_reference,False,
BTX-0001247,2025-01-20,2025-01-20,3391.73,GBP,credit,BlueRock Group,PAY INV-101524,BlueRock Group PAY INV-101524,clean_reference,False,
BTX-0001173,2025-01-20,2025-01-20,3706.97,GBP,credit,VERTEX SERVICES,PAY INV,VERTEX SERVICES PAY INV,truncated_reference,False,
BTX-0000401,2025-01-20,2025-01-20,2324.93,GBP,credit,Vertex Limited,INV-100485,Vertex Limited INV-100485,clean_reference,False,
BTX-0000514,2025-01-21,2025-01-21,4834.1,GBP,credit,Maple Solutions,100640,Maple Solutions 100640,truncated_reference,False,
BTX-0000757,2025-01-21,2025-01-21,538.83,GBP,credit,Harbour Solutions,100931,Harbour Solutions 100931,truncated_reference,False,
BTX-0001035,2025-01-21,2025-01-21,2184.67,GBP,credit,ACME HOLDINGS,,ACME HOLDINGS,missing_reference,False,
BTX-0000652,2025-01-21,2025-01-21,2607.37,GBP,credit,VERTEX HOLDINGS,PAY INV-100805,VERTEX HOLDINGS PAY INV-100805,clean_reference,False,
BTX-0000959,2025-01-21,2025-01-21,750.0,GBP,credit,Maple Services,C0059 101187,Maple Services C0059 101187,clean_reference,False,
BTX-0001778,2025-01-22,2025-01-22,250.0,GBP,unexpected_credit,Vertex Services,C0055,Vertex Services C0055,unexpected_receipt,False,
BTX-0001460,2025-01-22,2025-01-22,250.0,GBP,credit,Vertex Retail,101781,Vertex Retail 101781,truncated_reference,False,
BTX-0001085,2025-01-22,2025-01-22,2347.59,GBP,credit,Northstar Services,C0025-INV-101343,Northstar Services C0025-INV-101343,clean_reference,False,
BTX-0001199,2025-01-22,2025-01-22,2500.0,GBP,credit,HARBOUR GROUP,C0067-INV-101470,HARBOUR GROUP C0067-INV-101470,clean_reference,False,
BTX-0000999,2025-01-22,2025-01-22,149.0,GBP,credit,BLUEROCK PARTNERS,,BLUEROCK PARTNERS,missing_reference,False,
BTX-0000016,2025-01-22,2025-01-22,4528.95,GBP,credit,BRIGHTPATH HOLDINGS,INV-100019,BRIGHTPATH HOLDINGS INV-100019,clean_reference,False,
BTX-0001711,2025-01-22,2025-01-22,250.0,GBP,unexpected_credit,BrightPath Ltd,MISC C0060,BrightPath Ltd MISC C0060,unexpected_receipt,False,
BTX-0001634,2025-01-22,2025-01-22,4092.7,GBP,credit,IronBridge Limited,C0002 ,IronBridge Limited C0002 ,truncated_reference,False,
BTX-0000455,2025-01-23,2025-01-23,881.55,GBP,credit,Summit Retail,INV-100554,Summit Retail INV-100554,clean_reference,False,
