match_id,payment_record_id,bank_transaction_id,match_type,match_status
MATCH-0000001,PAYREC-000001,BTX-0000001,one_to_one,matched
MATCH-0000002,PAYREC-000002,BTX-0000002,one_to_one,matched
MATCH-0000003,PAYREC-000003,BTX-0000003,one_to_one,matched
MATCH-0000004,PAYREC-000005,BTX-0000004,one_to_one,matched
MATCH-0000005,PAYREC-000006,BTX-0000005,one_to_one,matched
MATCH-0000006,PAYREC-000007,BTX-0000006,one_to_one,matched
MATCH-0000007,PAYREC-000008,BTX-0000007,one_to_one,matched
MATCH-0000008,PAYREC-000009,BTX-0000008,one_to_one,matched
MATCH-0000009,PAYREC-000010,BTX-0000009,one_to_one,matched
MATCH-0000010,PAYREC-000011,BTX-0000010,one_to_one,matched
MATCH-0000011,PAYREC-000012,BTX-0000011,one_to_one,matched
MATCH-0000012,PAYREC-000013,BTX-0000012,one_to_one,matched
MATCH-0000013,PAYREC-000014,BTX-0000013,one_to_one,matched
MATCH-0000014,PAYREC-000015,BTX-0000014,one_to_one,matched
MATCH-0000015,PAYREC-000017,BTX-0000015,one_to_one,matched
MATCH-0000016,PAYREC-000019,BTX-0000016,one_to_one,matched
MATCH-0000017,PAYREC-000020,BTX-0000017,one_to_one,matched
MATCH-0000018,PAYREC-000021,BTX-0000018,one_to_one,matched
MATCH-0000019,PAYREC-000022,BTX-0000019,one_to_one,matched
MATCH-0000020,PAYREC-000023,BTX-0000020,one_to_one,matched
MATCH-0000021,PAYREC-000024,BTX-0000021,one_to_one,matched
MATCH-0000022,PAYREC-000025,BTX-0000022,one_to_one,matched
MATCH-0000023,PAYREC-000026,BTX-0000023,one_to_one,matched
MATCH-0000024,PAYREC-000027,BTX-0000024,one_to_one,matched
MATCH-0000025,PAYREC-000028,BTX-0000025,one_to_one,matched
MATCH-0000026,PAYREC-000029,BTX-0000026,one_to_one,matched
MATCH-0000027,PAYREC-000030,BTX-0000027,one_to_one,matched
MATCH-0000028,PAYREC-000032,BTX-0000028,one_to_one,matched
MATCH-0000029,PAYREC-000033,BTX-0000029,one_to_one,matched
MATCH-0000030,PAYREC-000034,BTX-0000030,one_to_one,matched
MATCH-0000031,PAYREC-000035,BTX-0000031,one_to_one,matched
MATCH-0000032,PAYREC-000036,BTX-0000032,one_to_one,matched
MATCH-0000033,PAYREC-000037,BTX-0000033,one_to_one,matched
