payment_record_id,invoice_id,customer_id,customer_code,customer_name,invoice_number,expected_amount,currency,invoice_date,due_date,expected_payment_date,expected_reference,reference_quality_hint,scenario_type
PAYREC-000001,INVREC-000001,CUST-00039,C0039,Acme Solutions,INV-100001,250.0,GBP,2025-02-21,2025-03-23,2025-03-18,INV-100001,medium,matched
PAYREC-000002,INVREC-000002,CUST-00027,C0027,Acme Partners,INV-100002,1645.13,GBP,2025-02-25,2025-03-27,2025-04-03,INV-100002,high,matched
PAYREC-000003,INVREC-000003,CUST-00057,C0057,Silverline Trading,INV-100003,3978.99,GBP,2025-02-26,2025-03-28,2025-03-31,C0057-INV-100003,medium,matched
PAYREC-000004,INVREC-000004,CUST-00022,C0022,Maple Distribution,INV-100004,3183.06,GBP,2025-03-26,2025-04-02,2025-04-01,INV-100004,medium,unmatched_expected
PAYREC-000005,INVREC-000005,CUST-00043,C0043,Summit Retail,INV-100005,3380.34,GBP,2025-01-12,2025-02-11,2025-02-10,C0043 100005,high,matched
PAYREC-000006,INVREC-000006,CUST-00029,C0029,Northstar Retail,INV-100006,500.0,GBP,2025-01-26,2025-02-09,2025-02-08,C0029-INV-100006,low,matched
PAYREC-000007,INVREC-000007,CUST-00010,C0010,Vertex Partners,INV-100007,1012.45,GBP,2025-02-28,2025-03-30,2025-04-01,PAY INV-100007,high,matched
PAYREC-000008,INVREC-000008,CUST-00050,C0050,ClearWater Partners,INV-100008,1500.0,GBP,2025-03-05,2025-04-04,2025-04-04,C0050-INV-100008,high,matched
PAYREC-000009,INVREC-000009,CUST-00001,C0001,Maple Limited,INV-100009,2500.0,GBP,2025-01-14,2025-02-13,2025-02-13,PAY INV-100009,high,matched
PAYREC-000010,INVREC-000010,CUST-00067,C0067,Harbour Group,INV-100010,125.0,GBP,2025-03-01,2025-03-08,2025-03-12,C0067-INV-100010,high,matched
PAYREC-000011,INVREC-000011,CUST-00059,C0059,Maple Services,INV-100011,4940.07,GBP,2025-01-18,2025-02-17,2025-02-19,PAY INV-100011,high,matched
PAYREC-000012,INVREC-000012,CUST-00041,C0041,Summit Holdings,INV-100012,2548.65,GBP,2025-02-26,2025-03-28,2025-03-29,PAY INV-100012,high,matched
PAYREC-000013,INVREC-000013,CUST-00071,C0071,Redwood Partners,INV-100013,2399.64,GBP,2025-02-27,2025-03-29,2025-03-28,C0071-INV-100013,high,matched
PAYREC-000014,INVREC-000014,CUST-00034,C0034,Northstar Trading,INV-100014,2500.0,GBP,2025-02-01,2025-03-03,2025-03-02,INV-100014,medium,matched
PAYREC-000015,INVREC-000015,CUST-00067,C0067,Harbour Group,INV-100015,125.0,GBP,2025-03-04,2025-04-03,2025-04-05,C0067 100015,high,matched
PAYREC-000016,INVREC-000016,CUST-00037,C0037,BlueRock Partners,INV-100016,750.0,GBP,2025-01-31,2025-02-14,2025-02-17,INV-100016,high,unmatched_expected
PAYREC-000017,INVREC-000017,CUST-00011,C0011,Harbour Limited,INV-100017,806.39,GBP,2025-01-18,2025-02-01,2025-01-31,C0011-INV-100017,low,matched
PAYREC-000018,INVREC-000018,CUST-00028,C0028,Harbour Holdings,INV-100018,500.0,GBP,2025-01-09,2025-02-08,2025-02-13,PAY INV-100018,low,unmatched_expected
PAYREC-000019,INVREC-000019,CUST-00054,C0054,BrightPath Holdings,INV-100019,4528.95,GBP,2025-01-08,2025-01-22,2025-01-22,INV-100019,high,matched
PAYREC-000020,INVREC-000020,CUST-00075,C0075,Maple Solutions,INV-100020,2899.67,GBP,2025-03-31,2025-04-07,2025-04-06,C0075 100020,low,matched
